epoch,acc,loss,val_acc,val_loss
0,0.471875,1.01872889996,0.49375,0.692114853859
1,0.503125,0.69501709342,0.525,0.691304433346
2,0.55625,0.703842461109,0.55,0.69256529808
3,0.50625,0.689022350311,0.525,0.690442442894
4,0.546875,0.676476699114,0.55,0.685156226158
5,0.6375,0.657311999798,0.55625,0.680649232864
6,0.696875,0.578898775578,0.58125,0.690023064613
7,0.721875,0.504091131687,0.56875,0.706277012825
8,0.809375,0.435063517094,0.5625,0.781676000357
9,0.846875,0.374196499586,0.60625,0.770821690559
