epoch,acc,loss,val_acc,val_loss
0,0.603125,3.06655266881,0.61875,0.681232464314
1,0.7,0.671168732643,1.0,0.648808240891
2,0.8625,0.538986858726,0.8625,0.334141869098
3,0.965625,0.102148449607,1.0,0.0106233446626
4,0.996875,0.00636347626569,1.0,0.0066176340026
5,1.0,0.00147480345659,1.0,0.00659647719004
6,1.0,0.000295751315025,1.0,0.00393563087564
7,1.0,0.000297868020243,1.0,0.00261261804845
8,1.0,0.000109522362709,1.0,0.0019585100963
9,1.0,0.000732909969202,1.0,0.00144678565267
10,1.0,9.63028017168e-05,1.0,0.000969142880092
11,1.0,7.81204000418e-05,1.0,0.000798027397178
12,1.0,3.10335393578e-05,1.0,0.000709579311035
13,1.0,2.41209598244e-05,1.0,0.000660412303233
14,1.0,1.77304992377e-05,1.0,0.000633945220892
15,1.0,0.000191753835838,1.0,0.000601452551348
16,1.0,4.16737031514e-05,1.0,0.000555136188103
17,1.0,2.34824773997e-05,1.0,0.000524927251763
18,1.0,1.89753065797e-05,1.0,0.000507233469642
19,1.0,3.09758980904e-05,1.0,0.000487408547895
20,1.0,3.35252925311e-05,1.0,0.000470007462991
21,1.0,3.89512855691e-05,1.0,0.000450938224742
22,1.0,1.65609123258e-05,1.0,0.000435330424011
23,1.0,1.06328050265e-05,1.0,0.000425519418366
24,1.0,3.85205759756e-05,1.0,0.000412235635616
