epoch,acc,loss,val_acc,val_loss
0,0.8875,0.449994799495,1.0,0.213318821788
1,0.996875,0.0844768129289,1.0,0.0936706990004
2,1.0,0.0772330176085,1.0,0.0495647629723
3,1.0,0.0155302591156,1.0,0.00903317620978
4,1.0,0.00461631029611,1.0,0.00514289904386
5,1.0,0.00211432497017,1.0,0.00367552498356
6,1.0,0.00162059504073,1.0,0.00276698614471
7,1.0,0.00095641653752,1.0,0.00193747810554
8,1.0,0.000742104742676,1.0,0.00178617383353
9,1.0,0.000663555826759,1.0,0.00146597699495
10,1.0,0.00048515010858,1.0,0.00125781086972
11,1.0,0.00048391003802,1.0,0.00120719847037
12,1.0,0.000432664755499,1.0,0.00109092089115
13,1.0,0.000426487388904,1.0,0.00105543805985
14,1.0,0.000410441463464,1.0,0.000976285408251
15,1.0,0.000358401850099,1.0,0.000966533692554
16,1.0,0.000351064289862,1.0,0.000954557873774
17,1.0,0.000333460648835,1.0,0.000892116990872
18,1.0,0.000315336475614,1.0,0.000889461266343
19,1.0,0.000322705380677,1.0,0.000874218402896
20,1.0,0.00029151700146,1.0,0.000853602064308
21,1.0,0.000333569801296,1.0,0.000874652410857
22,1.0,0.000302425470727,1.0,0.000868688395713
23,1.0,0.000277792499401,1.0,0.000798452692106
24,1.0,0.000249683533912,1.0,0.000771107140463
