epoch,acc,loss,val_acc,val_loss
0,0.75,0.634695866704,0.65,0.502604359388
1,0.709375,0.55424733758,0.675,0.486297118664
2,0.965625,0.461226955056,0.98125,0.41795822978
3,0.796875,0.620314888656,1.0,0.234083530307
4,1.0,0.157614807785,1.0,0.118525474519
5,1.0,0.0411848610267,1.0,0.0445026747882
6,0.865625,0.23655283656,0.475,0.827594184875
7,0.478125,0.767829567194,0.475,0.694548583031
8,0.50625,0.699400502443,0.525,0.703405797482
9,0.521875,0.700074476004,0.525,0.692850875854
