epoch,acc,loss,val_acc,val_loss
0,0.953125,0.171414078027,1.0,0.00912119727582
1,1.0,0.000823545905587,1.0,0.00073850734625
2,1.0,0.000101478636498,1.0,0.000306924286997
3,1.0,4.26076856456e-05,1.0,0.00022769291536
4,1.0,4.14547961554e-05,1.0,0.0002060546336
5,1.0,4.39504154201e-05,1.0,0.00020354356966
6,1.0,2.92364476991e-05,1.0,0.000201553976513
7,1.0,3.81628786272e-05,1.0,0.00018928021309
8,1.0,2.99649638691e-05,1.0,0.000174506081385
9,1.0,2.48048975664e-05,1.0,0.000163164705737
10,1.0,2.5989911137e-05,1.0,0.000152794030146
11,1.0,2.20558790716e-05,1.0,0.000144069915405
12,1.0,2.29019540711e-05,1.0,0.000136573983764
13,1.0,2.29852638768e-05,1.0,0.000128951740044
14,1.0,1.83707705219e-05,1.0,0.000121414480964
15,1.0,1.81340057679e-05,1.0,0.000114941157517
16,1.0,1.43451523854e-05,1.0,0.000110296934145
17,1.0,1.6230930305e-05,1.0,0.000106924379361
18,1.0,1.63923143646e-05,1.0,0.000103855055931
19,1.0,1.3982791188e-05,1.0,0.000100973517692
20,1.0,1.7934238349e-05,1.0,9.83815087238e-05
21,1.0,1.37015084874e-05,1.0,9.56221905653e-05
22,1.0,1.36230280077e-05,1.0,9.29530229769e-05
23,1.0,1.45487297232e-05,1.0,9.05312597752e-05
24,1.0,1.61662151186e-05,1.0,8.82164778886e-05
